what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1603288702337
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1603288702338
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1603288702338
started,bundle,com.altera.sbtgui.integration,11.1.0.259,"com.altera.sbtgui.integration",1603288702339
started,bundle,com.altera.sbtgui.launch,11.1.0.259,"com.altera.sbtgui.launch",1603288702339
started,bundle,com.altera.sbtgui.project,11.1.0.259,"com.altera.sbtgui.project",1603288702339
started,bundle,com.altera.systemconsole,11.1.0.259,"com.altera.systemconsole",1603288702340
started,bundle,com.altera.utilities,11.1.0.259,"com.altera.utilities",1603288702340
os,sysinfo,,,"win32",1603288702342
arch,sysinfo,,,"x86",1603288702342
ws,sysinfo,,,"win32",1603288702342
locale,sysinfo,,,"fr_FR",1603288702342
processors,sysinfo,,,"8",1603288702342
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1603288702342
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1603288702342
java.specification.name,sysinfo,,,"Java Platform API Specification",1603288702342
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1603288702342
java.specification.version,sysinfo,,,"1.6",1603288702342
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1603288702342
java.version,sysinfo,,,"1.6.0_23",1603288702342
java.vm.info,sysinfo,,,"mixed mode",1603288702342
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1603288702342
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1603288702342
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1603288702342
java.vm.specification.version,sysinfo,,,"1.0",1603288702342
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1603288702342
java.vm.version,sysinfo,,,"19.0-b09",1603288702342
activated,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.ResourceNavigator",1603288702489
started,bundle,com.altera.sbtgui.core,11.1.0.259,"com.altera.sbtgui.core",1603288702610
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1603288702652
started,bundle,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui",1603288703648
started,bundle,org.eclipse.cdt.debug.core,7.0.0.201009141542,"org.eclipse.cdt.debug.core",1603288703669
started,bundle,org.eclipse.cdt.debug.ui,7.0.0.201009141542,"org.eclipse.cdt.debug.ui",1603288703671
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1603288708531
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1603288709935
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1603288711649
started,bundle,org.eclipse.cdt.launch,6.1.0.201009141542,"org.eclipse.cdt.launch",1603288711655
opened,view,com.altera.sbtgui.launch,11.1.0.259,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1603288714408
started,bundle,org.eclipse.cdt.debug.mi.ui,6.1.0.201009141542,"org.eclipse.cdt.debug.mi.ui",1603288714657
started,bundle,org.eclipse.cdt.dsf,2.1.0.201009141542,"org.eclipse.cdt.dsf",1603288714674
started,bundle,org.eclipse.cdt.dsf.gdb,3.0.0.201009141542,"org.eclipse.cdt.dsf.gdb",1603288714674
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.1.0.201009141542,"org.eclipse.cdt.dsf.gdb.ui",1603288714675
started,bundle,org.eclipse.cdt.debug.mi.core,7.0.1.201009141542,"org.eclipse.cdt.debug.mi.core",1603288714684
activated,view,com.altera.sbtgui.launch,11.1.0.259,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1603288732872
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1603288734180
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1603288766577
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1603288779898
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1603288781168
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1603288810645
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1603288848213
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1603288852770
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1603288877727
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1603288878772
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1603288910965
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1603288911282
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1603288911516
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1603288911768
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1603288912222
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1603288926583
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1603288932404
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1603288932676
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1603288934295
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1603288934465
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1603288934825
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1603288934996
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1603288935362
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1603288935524
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1603288935797
