what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1603735895644
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1603741056200
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1603741057408
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1603746561292
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1603746561539
activated,view,com.altera.sbtgui.launch,11.1.0.259,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1603746563012
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1603746563015
activated,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.ResourceNavigator",1603746563018
activated,view,com.altera.sbtgui.launch,11.1.0.259,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1603746566266
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1603746574133
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1603746837963
activated,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.ResourceNavigator",1603746837967
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1603746839806
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1603750207409
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1603750209748
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1603750621763
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1603750624578
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1603750629165
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1603750630621
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1603751136121
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1603751147281
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1603751739131
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1603751740586
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1603751741809
closed,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1603751742071
stopped,bundle,org.eclipse.cdt.debug.mi.ui,6.1.0.201009141542,"org.eclipse.cdt.debug.mi.ui",1603751742326
stopped,bundle,com.altera.debug.cdi.gdb.plugin,11.1.0.259,"com.altera.debug.cdi.gdb.plugin",1603751742326
stopped,bundle,com.altera.sbtgui.launch,11.1.0.259,"com.altera.sbtgui.launch",1603751742326
stopped,bundle,org.eclipse.cdt.debug.mi.core,7.0.1.201009141542,"org.eclipse.cdt.debug.mi.core",1603751742326
stopped,bundle,org.eclipse.cdt.debug.ui.memory.memorybrowser,1.2.0.201009141542,"org.eclipse.cdt.debug.ui.memory.memorybrowser",1603751742335
activated,perspective,com.altera.sbtgui.ui,,"com.altera.sbtgui.ui.cPerspective",1603756583460
started,bundle,org.eclipse.osgi,3.6.1.R36x_v20100806,"org.eclipse.osgi",1603756583460
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20100503,"org.eclipse.equinox.simpleconfigurator",1603756583461
started,bundle,com.ibm.icu,4.2.1.v20100412,"com.ibm.icu",1603756583461
started,bundle,org.eclipse.cdt.core,5.2.1.201009141542,"org.eclipse.cdt.core",1603756583461
