what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1603731264292
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1603731265781
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1603731266096
activated,view,com.altera.sbtgui.launch,11.1.0.259,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1603731268597
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1603731270073
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1603731307887
activated,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.ResourceNavigator",1603731308920
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1603731312349
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1603731313869
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1603731314171
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1603731315677
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1603731318965
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1603731321953
activated,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.ResourceNavigator",1603731325839
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1603731328040
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1603731329600
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1603731329898
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1603731329935
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1603731332126
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1603731335746
activated,view,com.altera.sbtgui.launch,11.1.0.259,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1603731335765
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1603731337807
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1603731337811
activated,view,com.altera.sbtgui.launch,11.1.0.259,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1603731341636
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1603731363099
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1603731368622
activated,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.ResourceNavigator",1603731369680
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1603731371672
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1603731374290
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1603731374594
activated,view,com.altera.sbtgui.launch,11.1.0.259,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1603731376510
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1603731378737
activated,view,com.altera.sbtgui.launch,11.1.0.259,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1603731382626
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1603731393474
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1603731418038
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1603731578734
activated,view,com.altera.sbtgui.launch,11.1.0.259,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1603731580433
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1603731583144
activated,view,com.altera.sbtgui.launch,11.1.0.259,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1603731593837
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1603731601535
activated,view,com.altera.sbtgui.launch,11.1.0.259,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1603731608124
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1603731612273
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1603731635562
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1603731660826
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1603731668587
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1603731674605
activated,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.ResourceNavigator",1603731676972
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1603731677846
activated,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.ResourceNavigator",1603731678914
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1603731682127
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1603731683646
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1603731683941
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1603731685435
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1603731687848
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1603731688794
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1603731708994
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1603731711971
activated,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.ResourceNavigator",1603731712999
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1603731715140
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1603731716643
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1603731716944
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1603731718439
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1603731719980
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1603731727876
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1603731731368
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1603731745122
activated,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.ResourceNavigator",1603731747489
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1603731749641
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1603731751149
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1603731751445
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1603731752938
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1603731754107
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1603731766520
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1603731782330
activated,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.ResourceNavigator",1603731783709
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1603731785676
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1603731787180
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1603731787478
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1603731788972
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1603731790598
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1603731792004
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1603731800753
activated,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.ResourceNavigator",1603731803542
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1603731805303
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1603731806801
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1603731807096
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1603731808586
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1603731810309
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1603731815228
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1603731817661
activated,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.ResourceNavigator",1603731818933
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1603731820823
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1603731822325
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1603731822620
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1603731824119
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1603731825203
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1603731829809
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.cut",1603731833829
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1603731837127
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1603731845675
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1603731847719
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1603731852007
activated,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.ResourceNavigator",1603731854229
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1603731855877
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1603731859199
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1603731859494
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1603731859509
activated,view,com.altera.sbtgui.launch,11.1.0.259,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1603731861990
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1603731862569
activated,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.ResourceNavigator",1603731862572
activated,view,com.altera.sbtgui.launch,11.1.0.259,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1603731871448
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1603731904079
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1603731918579
