what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1603401728140
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1603401728141
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1603401728141
started,bundle,com.altera.sbtgui.integration,11.1.0.259,"com.altera.sbtgui.integration",1603401728142
started,bundle,com.altera.sbtgui.launch,11.1.0.259,"com.altera.sbtgui.launch",1603401728142
started,bundle,com.altera.sbtgui.project,11.1.0.259,"com.altera.sbtgui.project",1603401728143
started,bundle,com.altera.systemconsole,11.1.0.259,"com.altera.systemconsole",1603401728143
started,bundle,com.altera.utilities,11.1.0.259,"com.altera.utilities",1603401728143
os,sysinfo,,,"win32",1603401728145
arch,sysinfo,,,"x86",1603401728145
ws,sysinfo,,,"win32",1603401728145
locale,sysinfo,,,"fr_FR",1603401728145
processors,sysinfo,,,"8",1603401728145
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1603401728145
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1603401728145
java.specification.name,sysinfo,,,"Java Platform API Specification",1603401728145
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1603401728145
java.specification.version,sysinfo,,,"1.6",1603401728145
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1603401728145
java.version,sysinfo,,,"1.6.0_23",1603401728145
java.vm.info,sysinfo,,,"mixed mode",1603401728145
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1603401728145
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1603401728145
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1603401728145
java.vm.specification.version,sysinfo,,,"1.0",1603401728145
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1603401728145
java.vm.version,sysinfo,,,"19.0-b09",1603401728145
activated,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.ResourceNavigator",1603401732323
started,bundle,com.altera.sbtgui.core,11.1.0.259,"com.altera.sbtgui.core",1603401732418
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1603401732553
started,bundle,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui",1603401733707
started,bundle,org.eclipse.cdt.debug.core,7.0.0.201009141542,"org.eclipse.cdt.debug.core",1603401733728
started,bundle,org.eclipse.cdt.debug.ui,7.0.0.201009141542,"org.eclipse.cdt.debug.ui",1603401733731
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1603401736756
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1603401739290
started,bundle,org.eclipse.cdt.launch,6.1.0.201009141542,"org.eclipse.cdt.launch",1603401745157
started,bundle,com.altera.debug.cdi.gdb.plugin,11.1.0.259,"com.altera.debug.cdi.gdb.plugin",1603401748136
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1603401748229
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1603401762008
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1603401762018
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1603401764577
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1603401773565
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1603401778993
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1603401780396
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1603401786168
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1603401795950
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1603401795961
opened,view,com.altera.sbtgui.launch,11.1.0.259,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1603401798456
started,bundle,org.eclipse.cdt.debug.mi.ui,6.1.0.201009141542,"org.eclipse.cdt.debug.mi.ui",1603401798627
started,bundle,org.eclipse.cdt.dsf,2.1.0.201009141542,"org.eclipse.cdt.dsf",1603401798645
started,bundle,org.eclipse.cdt.dsf.gdb,3.0.0.201009141542,"org.eclipse.cdt.dsf.gdb",1603401798646
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.1.0.201009141542,"org.eclipse.cdt.dsf.gdb.ui",1603401798646
started,bundle,org.eclipse.cdt.debug.mi.core,7.0.1.201009141542,"org.eclipse.cdt.debug.mi.core",1603401798653
activated,view,com.altera.sbtgui.launch,11.1.0.259,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1603401808624
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1603401836704
activated,view,com.altera.sbtgui.launch,11.1.0.259,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1603401837814
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1603401839637
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1603401842883
activated,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.ResourceNavigator",1603401851212
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1603401853464
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1603401855969
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1603401856257
activated,view,com.altera.sbtgui.launch,11.1.0.259,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1603401858633
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1603401860266
activated,view,com.altera.sbtgui.launch,11.1.0.259,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1603401864055
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1603401893216
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1603401903122
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1603401905818
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1603402053818
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1603402068806
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1603402329916
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1603402333924
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1603402348076
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1603402378917
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1603402384701
activated,view,com.altera.sbtgui.launch,11.1.0.259,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1603402391918
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1603402393596
activated,view,com.altera.sbtgui.launch,11.1.0.259,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1603402397327
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1603402415853
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1603402530311
